:3
C1:1
C10:1
C100:1
C101:1
C102:1
C103:1
C104:1
C105:1
C106:1
C107:1
C108:1
C109:1
C11:1
C110:1
C111:1
C112:1
C113:1
C114:1
C115:1
C116:1
C117:1
C118:1
C119:1
C12:1
C120:1
C121:1
C122:1
C123:1
C124:1
C125:1
C126:1
C127:1
C128:1
C129:1
C13:1
C130:1
C131:1
C132:1
C133:1
C134:1
C135:1
C136:1
C137:1
C138:1
C139:1
C14:1
C140:1
C141:1
C142:1
C143:1
C144:1
C145:1
C146:1
C147:1
C148:1
C149:1
C15:1
C150:1
C151:1
C152:1
C153:1
C154:1
C155:1
C156:1
C157:1
C158:1
C159:1
C16:1
C160:1
C161:1
C162:1
C163:1
C164:1
C165:1
C166:1
C167:1
C168:1
C169:1
C17:1
C170:1
C171:1
C172:1
C173:1
C174:1
C175:1
C176:1
C177:1
C178:1
C179:1
C18:1
C180:1
C181:1
C182:1
C183:1
C184:1
C185:1
C186:1
C187:1
C188:1
C189:1
C19:1
C190:1
C191:1
C192:1
C193:1
C194:1
C195:1
C196:1
C197:1
C2:1
C20:1
C203:1
C204:1
C205:1
C21:1
C211:1
C212:1
C213:1
C219:1
C22:1
C220:1
C221:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C3:1
C30:1
C31:1
C32:1
C33:1
C34:1
C35:1
C36:1
C37:1
C38:1
C39:1
C4:1
C40:1
C41:1
C42:1
C43:1
C44:1
C45:1
C46:1
C47:1
C48:1
C49:1
C5:1
C50:1
C51:1
C52:1
C53:1
C54:1
C55:1
C56:1
C57:1
C58:1
C59:1
C6:1
C60:1
C61:1
C62:1
C63:1
C64:1
C65:1
C66:1
C67:1
C68:1
C69:1
C7:1
C70:1
C71:1
C72:1
C73:1
C74:1
C75:1
C76:1
C77:1
C78:1
C79:1
C8:1
C80:1
C81:1
C82:1
C83:1
C84:1
C85:1
C86:1
C87:1
C88:1
C89:1
C9:1
C90:1
C91:1
C92:1
C93:1
C94:1
C95:1
C96:1
C97:1
C98:1
C99:1
D1:1
D2:1
D3:1
F1:1
G***:3
J1:1
J2:1
JP1:1
JP2:1
L1:1
L2:1
L3:1
L4:1
M1:1
M2:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R27:1
R28:1
R29:1
R3:1
R30:1
R31:1
R32:1
R33:1
R34:1
R35:1
R36:1
R37:1
R38:1
R39:1
R4:1
R40:1
R41:1
R42:1
R43:1
R44:1
R45:1
R46:1
R47:1
R48:1
R49:1
R5:1
R50:1
R51:1
R6:1
R7:1
R8:1
R9:1
REF**:12
TP3:1
U10:1
U11:1
U12:1
U13:1
U14:1
U15:1
U16:1
U2:1
U3:1
U30:1
U32:1
U33:1
U35:1
U36:1
U37:1
U38:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
