Designator,Mid X,Mid Y,Rotation,Layer
C59,138.39,-102.33,90.0,bottom
C6,111.4,-40.44,0.0,top
C60,82.85,-107.96,0.0,bottom
C61,44.93,-97.74,90.0,bottom
C62,141.02,-105.25,270.0,bottom
C63,113.03,-105.27,90.0,bottom
C64,78.16,-103.74,90.0,bottom
C65,54.85,-107.96,180.0,bottom
C66,115.06,-105.24,90.0,bottom
C67,117.06,-105.24,90.0,bottom
C68,50.22,-103.82,90.0,bottom
C69,119.11,-105.27,90.0,bottom
C7,111.4,-38.45,180.0,top
C70,82.18,-103.74,90.0,bottom
C71,70.55,-105.27,90.0,bottom
C72,54.19,-103.82,90.0,bottom
C73,72.56,-105.27,90.0,bottom
C74,80.16,-103.73,90.0,bottom
C75,52.21,-103.82,90.0,bottom
C76,74.57,-105.27,90.0,bottom
C77,65.92,-102.33,90.0,bottom
C78,68.54,-105.27,270.0,bottom
C79,49.75,-123.16,0.0,bottom
C8,111.4,-36.45,180.0,top
C80,42.55,-105.27,90.0,bottom
C81,44.3,-80.235,270.0,top
C82,162.94,-61.19,90.0,top
C83,162.94,-57.22,270.0,top
C84,93.53,-66.045,90.0,top
C85,44.56,-105.27,90.0,bottom
C86,93.58,-60.055,270.0,top
C87,76.44,-78.07,0.0,bottom
C88,146.7,-92.4,0.0,bottom
C89,54.08,-80.235,270.0,top
C9,102.7,-33.67,90.0,top
C90,93.59,-55.325,90.0,top
C91,93.52,-81.24,270.0,top
C92,42.9075,-72.8,0.0,top
C93,46.57,-105.27,90.0,bottom
C94,86.08,-134.34,90.0,bottom
C95,109.49,-56.57,0.0,top
C96,91.73,-38.5,0.0,top
C97,109.49,-60.09,0.0,top
C98,109.49,-66.88,0.0,top
C99,109.49,-76.85,0.0,top
D1,52.36,-49.56,0.0,top
D2,71.29,-48.81,90.0,top
D3,153.05,-31.15,180.0,top
F1,45.7875,-48.01,90.0,top
J1,55.95,-33.61,180.0,top
L1,82.74,-57.525,0.0,top
L2,82.7,-68.255,0.0,top
L3,66.9,-49.45,90.0,top
L4,82.73,-78.695,0.0,top
M1,83.96,-32.85,270.0,top
M2,84.11,-44.87,270.0,top
R1,98.92,-38.17,270.0,top
R10,146.73,-100.64,0.0,bottom
R11,146.71,-102.59,0.0,bottom
R12,110.7,-33.66,270.0,top
R13,112.66,-33.66,270.0,top
R14,131.91,-100.91,180.0,bottom
R15,118.73,-100.64,0.0,bottom
R16,87.35,-100.91,180.0,bottom
R17,73.88,-100.57,0.0,bottom
R18,73.88,-102.52,0.0,bottom
R19,59.35,-100.91,180.0,bottom
R2,96.85,-38.19,90.0,top
R20,46.47,-100.62,0.0,bottom
R21,45.73,-131.1,0.0,bottom
R22,59.05,-131.63,180.0,bottom
R23,59.04,-129.7,180.0,bottom
R24,73.73,-131.1,0.0,bottom
R25,75.84,-60.33,90.0,top
R26,75.77,-71.305,90.0,top
R27,73.64,-55.165,270.0,top
